Countries,Indicators,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Niger,General government expenditure ,in current PPP per capita,168.5397,177.4859,180.7167,164.4617,155.5877,198.0906,245.9323,295.8258,313.1251,262.4197
Nigeria,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,57.672,59.8029,54.1489,22.6297,25.2119,29.6016,27.7426,26.6445,35.5713,27.8384
Nigeria,External Health Expenditure (EXT) per Capita in PPP Int$,,6.0526,8.2335,11.5721,10.4087,13.7064,15.3671,24.0499,24.1497,21.3941,21.014
Nigeria,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,187.4141,193.1779,222.148,127.8798,130.5072,133.0879,137.5672,143.7569,155.4944,160.7477
Nigeria,Gross Domestic Product ,in current PPP per capita,"6,756.98","7,184.11","8,331.54","5,045.98","5,259.30","5,437.81","5,670.10","5,975.01","6,038.46","5,861.09"
Nigeria,General government expenditure ,in current PPP per capita,"1,222.03","1,032.73","1,288.85",839.9806,912.7428,764.5307,758.7506,755.8836,668.2053,555.7299
Rwanda,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,20.2694,23.26,24.8798,28.6736,33.1203,33.0132,35.4926,38.3971,39.7098,44.1749
Rwanda,External Health Expenditure (EXT) per Capita in PPP Int$,,50.4349,51.3964,54.6114,59.0293,59.1041,69.4548,49.0414,57.6381,59.4199,65.9661
Rwanda,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,19.4669,16.4633,14.5216,13.5633,12.2109,11.1115,10.1982,9.5261,9.0999,8.3124
Rwanda,Gross Domestic Product ,in current PPP per capita,"1,090.85","1,203.15","1,253.74","1,325.78","1,421.19","1,535.48","1,592.82","1,701.86","1,830.87","1,928.51"
Rwanda,General government expenditure ,in current PPP per capita,260.1006,288.0024,295.125,335.1117,372.11,394.7523,427.4102,481.0519,501.7071,497.3098
Sao Tome and Principe,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,37.3169,30.0659,41.858,52.8931,60.595,58.4078,76.7526,71.9153,52.6208,78.5528
Sao Tome and Principe,External Health Expenditure (EXT) per Capita in PPP Int$,,89.3588,96.9634,91.0172,84.835,83.5321,84.0222,113.8663,98.7708,85.9098,87.8199
Sao Tome and Principe,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,55.1773,43.689,41.115,37.1798,35.3857,31.885,32.6199,30.7309,27.0113,28.3593
Sao Tome and Principe,Gross Domestic Product ,in current PPP per capita,"2,291.42","2,431.92","2,452.54","2,588.08","2,695.63","2,768.23","2,882.87","3,047.86","3,132.84","3,286.00"
Sao Tome and Principe,General government expenditure ,in current PPP per capita,870.793,740.44,"1,273.77","1,292.66","1,407.12","1,279.13",909.528,928.5069,"1,073.58","1,054.79"
Senegal,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,30.3347,33.6553,34.3943,28.4833,32.1566,30.9186,33.8941,41.9239,41.943,48.1101
Senegal,External Health Expenditure (EXT) per Capita in PPP Int$,,4.9547,5.9419,6.8519,13.0296,9.5548,10.9201,11.797,7.9333,10.2084,8.7611
Senegal,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,37.8845,38.0947,46.0543,52.2729,57.1824,62.3116,70.1356,72.4567,73.1541,73.3525
Senegal,Gross Domestic Product ,in current PPP per capita,"2,023.24","2,079.36","2,087.27","2,139.46","2,158.25","2,229.00","2,276.01","2,341.26","2,446.89","2,570.47"
Senegal,General government expenditure ,in current PPP per capita,555.5762,546.3957,555.0283,578.5386,621.0796,635.6664,639.5188,698.5532,730.6972,796.8291
Seychelles,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,566.221,444.0917,437.9331,610.8508,620.2665,873.0209,751.2374,808.3022,841.352,"1,077.36"
Seychelles,External Health Expenditure (EXT) per Capita in PPP Int$,,3.8146,3.161,2.7069,19.8904,67.7269,20.3035,30.9665,5.2675,4.0274,20.9781
Seychelles,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,35.2401,30.5256,27.6792,28.7871,34.8124,23.4621,17.7787,18.4723,21.5503,23.3963
Seychelles,Gross Domestic Product ,in current PPP per capita,"18,607.28","18,482.06","18,346.19","19,596.25","20,522.17","21,674.91","23,414.94","24,570.86","25,911.23","28,519.67"
Seychelles,General government expenditure ,in current PPP per capita,"7,796.47","4,988.76","5,892.16","6,775.40","7,457.58","8,367.51","8,848.41","8,303.20","8,385.54","10,737.77"
Sierra Leone,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,11.3784,7.0312,10.525,14.9494,11.0792,13.5995,13.8091,23.8401,22.9924,27.2662
Sierra Leone,External Health Expenditure (EXT) per Capita in PPP Int$,,17.1011,19.5098,26.8645,31.0439,38.287,26.571,59.1364,82.8859,143.5375,100.0426
Sierra Leone,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,77.5434,82.8636,87.5075,82.321,115.7838,110.7171,124.6293,122.9628,104.9773,101.4051
Sierra Leone,Gross Domestic Product ,in current PPP per capita,"1,059.59","1,111.01","1,127.97","1,175.01","1,246.21","1,428.44","1,712.81","1,782.49","1,401.30","1,476.21"
Sierra Leone,General government expenditure ,in current PPP per capita,137.2526,179.5524,197.1234,237.5962,267.9887,290.4447,268.1318,314.5184,290.6455,344.6697
South Africa,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,353.0434,382.1549,406.3,455.8349,494.5885,530.1665,537.8201,554.8217,578.194,576.3671
South Africa,External Health Expenditure (EXT) per Capita in PPP Int$,,12.6641,17.9932,22.6679,25.8454,22.3827,19.5849,19.4048,26.3091,26.2512,20.6836
South Africa,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,78.5234,76.4407,74.4023,73.4695,76.3101,78.3251,79.5265,81.6586,83.1165,83.0392
South Africa,Gross Domestic Product ,in current PPP per capita,"11,062.37","11,518.10","11,301.82","11,647.33","12,118.74","12,440.26","12,771.17","13,025.48","13,169.88","13,210.50"
South Africa,General government expenditure ,in current PPP per capita,"3,006.18","3,302.42","3,583.72","3,662.70","3,741.89","3,902.20","4,034.94","4,148.93","4,334.57","4,320.87"
South Sudan,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,,,,,,13.9125,8.4083,16.4945,16.2521,38.5813
South Sudan,External Health Expenditure (EXT) per Capita in PPP Int$,,,,,,,3.0243,7.2578,6.659,9.4372,30.2926
South Sudan,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,,,,,,31.3521,28.1872,29.6059,34.14,75.7296
South Sudan,Gross Domestic Product ,in current PPP per capita,,,,,,"2,006.73","2,315.52","2,382.65","2,329.13","4,689.63"
South Sudan,General government expenditure ,in current PPP per capita,,,,,,634.496,586.8926,867.3901,962.3875,"2,580.19"
Swaziland,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,256.5562,307.3763,309.2785,414.1242,387.7844,345.249,385.8311,366.3722,406.1202,459.6649
Swaziland,External Health Expenditure (EXT) per Capita in PPP Int$,,28.2146,44.7663,44.6624,59.2862,99.992,102.0749,92.839,129.8023,99.3233,91.4939
Swaziland,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,56.9398,58.5652,58.9125,65.2723,65.6332,68.0967,70.3682,71.3607,71.3598,65.6551
Swaziland,Gross Domestic Product ,in current PPP per capita,"6,954.52","7,023.49","7,031.80","7,245.23","7,402.86","7,557.43","7,885.50","8,141.59","8,070.84","8,617.09"
Swaziland,General government expenditure ,in current PPP per capita,"2,073.44","2,303.72","2,319.87","2,197.22","1,852.65","2,086.69","2,325.78","2,671.16","2,726.04","3,017.96"
Togo,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,9.9314,9.8462,11.7246,19.8765,18.361,20.9505,18.7018,19.7013,18.6945,20.029
Togo,External Health Expenditure (EXT) per Capita in PPP Int$,,6.1254,6.6526,7.1945,4.4928,6.5489,8.4901,15.2809,14.5037,15.2591,20.6845
Togo,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,32.3633,32.3364,37.9493,46.8342,47.1274,45.4425,48.707,48.5675,50.0674,50.3678
Togo,Gross Domestic Product ,in current PPP per capita,"1,182.02","1,190.82","1,229.30","1,278.26","1,270.42","1,284.82","1,397.11","1,412.29","1,469.08","1,510.10"
Togo,General government expenditure ,in current PPP per capita,228.5735,203.2777,245.4462,266.9465,323.869,342.9412,372.4855,388.5161,450.3429,470.7165
Uganda,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,44.5859,38.2347,32.8469,22.8605,24.4991,22.5663,22.4662,18.4,18.8511,19.3916
Uganda,External Health Expenditure (EXT) per Capita in PPP Int$,,28.6968,32.914,27.5379,83.9204,75.4759,50.3526,45.3636,51.9813,49.4231,47.2857
Uganda,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,64.4375,68.5142,56.0941,55.6099,60.7002,56.9439,50.6243,47.9269,48.8268,47.2185
Uganda,Gross Domestic Product ,in current PPP per capita,"1,417.49","1,677.61","1,546.48","1,596.03","1,820.35","1,699.57","1,746.05","1,809.03","1,893.90","1,899.60"
Uganda,General government expenditure ,in current PPP per capita,243.36,281.789,235.8984,300.6267,312.4645,281.4817,290.9722,328.4037,367.0875,377.6131
United Republic of Tanzania,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,34.9995,41.8968,28.7225,29.2564,27.71,26.2747,28.3722,30.5345,33.6184,45.4904
United Republic of Tanzania,External Health Expenditure (EXT) per Capita in PPP Int$,,52.6432,27.4925,34.2636,41.5491,48.8984,54.1981,53.9329,44.5313,36.9316,40.7769
United Republic of Tanzania,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,35.3455,34.0504,33.9341,33.6175,30.4354,27.6865,26.7964,26.5551,25.2068,24.5162
United Republic of Tanzania,Gross Domestic Product ,in current PPP per capita,"1,777.53","1,853.75","1,906.92","1,989.08","2,122.82","2,203.04","2,327.54","2,456.79","2,575.16","2,704.85"
United Republic of Tanzania,General government expenditure ,in current PPP per capita,321.7822,342.987,384.6308,402.7337,406.4361,435.8356,451.0718,440.1147,458.6022,477.7683
Zambia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,25.3315,16.0519,12.9799,27.0327,40.4629,46.386,48.4837,72.4698,80.7467,67.0752
Zambia,External Health Expenditure (EXT) per Capita in PPP Int$,,40.2602,46.6015,74.9818,54.5156,42.8496,62.329,95.0536,47.6935,62.2867,74.4424
Zambia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,37.3867,38.948,34.0138,29.2411,25.095,24.4807,19.8039,20.2349,20.9686,21.228
Zambia,Gross Domestic Product ,in current PPP per capita,"2,589.90","2,768.44","2,961.98","3,212.95","3,361.04","3,574.02","3,701.40","3,826.64","3,862.48","3,912.67"
Zambia,General government expenditure ,in current PPP per capita,515.9727,538.6749,527.4256,580.4493,656.3206,769.3536,880.206,941.3298,"1,085.67",940.5161
Zimbabwe,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,,,,44.2833,36.1625,38.7912,41.0155,61.348,80.4387,86.0547
Zimbabwe,External Health Expenditure (EXT) per Capita in PPP Int$,,,,,49.3868,30.2518,25.8392,35.308,55.6605,42.2092,47.0417
Zimbabwe,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,,,,61.8871,53.5332,45.8492,39.1951,43.4159,47.9101,39.3093
Zimbabwe,Gross Domestic Product ,in current PPP per capita,,,,"1,434.38","1,663.49","1,881.15","1,967.61","2,020.74","2,007.26","1,965.74"
Zimbabwe,General government expenditure ,in current PPP per capita,,,,303.7737,411.6015,467.2768,516.2015,508.9495,506.9358,593.125
Antigua and Barbuda,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,661.0409,751.1739,655.9495,719.5105,709.9012,651.751,696.9446,826.9123,690.7592,591.2364
Antigua and Barbuda,External Health Expenditure (EXT) per Capita in PPP Int$,,1.4603,1.8276,0.2349,1.2845,32.1751,0,2.5012,0,1.483,0.1548
Antigua and Barbuda,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,332.8718,310.7985,214.7244,249.0815,260.0049,283.1699,284.4632,299.5846,261.1261,314.2837
Antigua and Barbuda,Gross Domestic Product ,in current PPP per capita,"22,998.11","23,164.17","20,268.12","18,826.09","18,608.24","19,399.18","19,480.72","20,617.72","21,461.53","22,659.24"
Antigua and Barbuda,General government expenditure ,in current PPP per capita,"6,215.53","6,118.60","7,365.21","4,234.66","4,422.78","4,050.64","4,481.59","4,629.44","5,614.36","5,495.24"
Argentina,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,717.6066,798.5253,942.2127,"1,020.87","1,115.18","1,201.14","1,258.63","1,255.34","1,411.63","1,139.52"
Argentina,External Health Expenditure (EXT) per Capita in PPP Int$,,2.9332,13.1259,4.5276,5.4723,5.7924,7.7265,9.6342,8.6489,10.1229,8.6333
Argentina,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,375.7132,348.1601,337.4682,311.2482,296.6351,233.6643,244.8601,238.3861,245.0349,241.8763
Argentina,Gross Domestic Product ,in current PPP per capita,"16,865.54","17,711.44","16,618.12","18,333.54","19,629.35","19,579.01","20,161.49","19,802.10","20,689.48","20,283.00"
Argentina,General government expenditure ,in current PPP per capita,"4,982.95","5,448.44","5,737.19","6,115.57","6,850.85","7,209.10","7,581.11","7,693.51","8,517.03","8,402.27"
Bahamas,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,736.203,777.1901,788.8934,802.5583,830.5445,665.0721,658.8367,611.6577,675.0536,715.7844
Bahamas,External Health Expenditure (EXT) per Capita in PPP Int$,,8.6274,8.5094,8.5132,8.5077,8.6216,6.5632,6.5665,6.416,5.9916,5.9982
Bahamas,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,503.2637,499.217,468.2281,482.1022,497.1772,406.9191,400.5552,414.9007,361.4932,397.8801
Bahamas,Gross Domestic Product ,in current PPP per capita,"30,535.17","29,856.58","28,326.38","28,631.20","28,939.73","23,452.54","23,370.10","23,191.67","22,448.53","22,517.22"
Bahamas,General government expenditure ,in current PPP per capita,"4,374.08","4,467.42","4,784.44","4,648.03","5,175.82","4,145.76","4,154.39","4,121.20","4,254.04","4,478.65"
Barbados,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,553.7672,616.458,626.9636,592.791,550.7306,714.3197,655.3985,577.0832,577.0158,607.0766
Barbados,External Health Expenditure (EXT) per Capita in PPP Int$,,19.9759,34.5523,39.6208,25.4412,34.1557,4.7883,23.0797,27.5358,20.9772,22.1179
Barbados,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,374.6343,395.0852,417.0149,422.3229,479.1046,498.3965,544.098,554.4916,569.3745,597.6852
Barbados,Gross Domestic Product ,in current PPP per capita,"16,791.44","17,206.69","16,064.18","16,372.02","16,484.81","16,676.22","17,199.49","17,471.05","17,951.68","19,001.73"
Barbados,General government expenditure ,in current PPP per capita,"5,288.19","5,465.30","5,374.51","5,520.59","5,186.29","5,756.75","6,061.42","5,819.32","6,312.72","6,539.32"
Belize,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,212.6452,220.6139,256.7331,297.0205,287.7578,286.3241,307.3986,277.475,356.3185,359.1162
Belize,External Health Expenditure (EXT) per Capita in PPP Int$,,15.7761,16.7398,17.6662,16.2608,22.2733,14.453,18.2681,55.0534,9.3953,20.5021
Belize,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,97.2232,100.69,107.2407,106.6449,103.0368,106.2612,115.6376,117.0236,120.7606,123.8297
Belize,Gross Domestic Product ,in current PPP per capita,"7,443.88","7,636.14","7,558.29","7,715.32","7,854.58","8,120.54","8,172.94","8,420.96","8,761.34","8,844.98"
Belize,General government expenditure ,in current PPP per capita,"2,160.20","2,139.91","2,170.82","2,278.15","2,290.59","2,193.35","2,531.71","2,676.03","3,113.39","2,891.63"
Bolivia Plurinational States of ,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,133.4041,137.9927,164.7769,165.1555,172.4434,179.9456,209.1455,249.454,303.9723,326.0661
Bolivia Plurinational States of ,External Health Expenditure (EXT) per Capita in PPP Int$,,10.0744,13.6316,10.576,9.8962,13.4807,13.7077,12.3986,10.4801,14.0045,16.0734
Bolivia Plurinational States of ,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,63.9485,66.0165,74.8015,86.1431,88.0093,98.9255,116.3605,113.5177,115.5795,139.0706
Bolivia Plurinational States of ,Gross Domestic Product ,in current PPP per capita,"4,684.94","4,986.89","5,108.88","5,298.10","5,598.52","5,899.65","6,303.07","6,662.84","6,955.17","7,234.19"
Bolivia Plurinational States of ,General government expenditure ,in current PPP per capita,"1,529.75","1,762.03","1,829.98","1,668.87","1,979.41","2,126.13","2,422.32","2,882.12","3,101.34","2,877.61"
Brazil,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,434.6983,463.3493,486.8904,505.4168,514.7135,504.7671,567.1815,596.6536,591.0029,592.3356
Brazil,External Health Expenditure (EXT) per Capita in PPP Int$,,3.157,2.7971,4.7251,5.6917,5.5255,13.9656,4.334,7.049,10.272,12.3964
Brazil,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,339.3079,328.0716,346.1678,332.4989,341.6723,353.818,359.6605,384.3149,396.1047,383.9728
Brazil,Gross Domestic Product ,in current PPP per capita,"12,491.62","13,251.91","13,200.19","14,234.60","14,972.89","15,410.23","16,001.19","16,243.04","15,699.27","15,218.07"
Brazil,General government expenditure ,in current PPP per capita,"4,704.11","4,961.08","4,902.72","5,525.16","5,626.23","5,736.13","5,992.24","6,178.78","6,067.23","6,064.74"
Canada,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,"2,661.83","2,768.61","2,995.06","3,071.30","3,117.13","3,166.34","3,275.35","3,330.70","3,401.46","3,465.30"
Canada,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,567.748,584.3153,613.3755,646.0874,621.1901,626.2181,645.17,658.2418,667.9755,689.6895
Canada,Gross Domestic Product ,in current PPP per capita,"39,284.29","40,086.18","38,605.95","39,835.83","41,329.59","41,963.77","43,972.47","45,431.09","44,501.81","44,788.34"
Canada,General government expenditure ,in current PPP per capita,"15,171.64","15,582.29","16,805.44","17,195.31","17,223.08","17,215.57","17,615.39","17,473.46","17,751.53","18,219.70"
Chile,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,576.2335,629.2447,683.0606,730.438,822.8988,910.7109,997.6713,"1,057.34","1,111.02","1,170.56"
Chile,External Health Expenditure (EXT) per Capita in PPP Int$,,0.0109,0.133,0.155,0.1265,0.0281,0.0232,0.0453,0.0435,0.0268,0.0571
Chile,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,410.7102,417.5879,404.6135,426.5223,477.4693,507.109,565.4389,614.6726,652.6435,696.0974
Chile,Gross Domestic Product ,in current PPP per capita,"16,971.77","16,551.31","16,226.21","18,265.34","20,437.70","21,620.28","22,578.73","22,978.19","22,785.82","23,473.12"
Chile,General government expenditure ,in current PPP per capita,"3,257.04","3,607.21","4,029.64","4,260.47","4,657.78","4,992.66","5,205.66","5,456.18","5,667.60","5,930.84"
Colombia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,392.748,418.4307,467.0834,470.7796,464.7404,473.5243,485.1297,498.1539,528.2882,526.2432
Colombia,External Health Expenditure (EXT) per Capita in PPP Int$,,2.9285,0.4164,0.3623,0.473,1.1921,1.938,2.7518,13.612,18.0791,17.3934
Colombia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,120.6086,143.4961,134.3151,139.4283,141.3527,147.5806,154.6948,158.3143,163.0693,167.263
Colombia,Gross Domestic Product ,in current PPP per capita,"9,710.92","10,132.27","10,260.23","10,680.00","11,496.48","12,058.34","12,725.04","13,394.95","13,825.92","14,035.09"
Colombia,General government expenditure ,in current PPP per capita,"2,721.67","2,699.07","3,028.99","3,139.34","3,301.67","3,408.76","3,688.98","3,943.77","4,118.77","3,936.89"
Costa Rica,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,551.6309,635.2633,688.6073,755.5585,781.2939,800.7009,822.6777,852.5789,916.1054,933.3827
Costa Rica,External Health Expenditure (EXT) per Capita in PPP Int$,,0.7803,1.2989,2.7259,2.1771,4.8259,4.6446,4.489,4.7224,4.1909,4.11
Costa Rica,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,254.6844,273.4327,253.4893,262.3229,283.8711,274.0561,265.434,291.2799,280.4437,276.4809
Costa Rica,Gross Domestic Product ,in current PPP per capita,"11,714.21","12,329.93","12,141.94","12,737.02","13,397.23","14,133.69","14,524.67","15,137.66","15,853.57","16,524.53"
Costa Rica,General government expenditure ,in current PPP per capita,"1,748.06","1,940.68","2,057.85","2,354.82","2,358.66","2,526.44","2,784.05","2,908.25","3,059.30","3,197.87"
Cuba,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,"1,652.76","1,785.12","1,996.31","1,835.93","1,912.05","1,619.13","1,930.52","2,414.26","2,831.58","2,202.08"
Cuba,External Health Expenditure (EXT) per Capita in PPP Int$,,1.8342,3.7793,2.0416,0.5373,3.6181,2.9229,2.6023,2.8607,1.2874,2.253
Cuba,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,179.4447,173.4158,176.1303,185.6811,232.3387,245.2105,270.4077,257.8451,302.3605,253.3319
Cuba,Gross Domestic Product ,in current PPP per capita,"16,724.17","17,343.38","17,692.83","18,920.47","18,987.26","20,081.07","21,125.48","22,032.82","24,523.42","20,159.33"
Cuba,General government expenditure ,in current PPP per capita,"11,412.95","13,546.11","13,368.80","13,239.45","12,664.14","14,085.93","13,652.37","13,394.34","15,557.65","12,755.41"
Dominica,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,280.314,297.4563,313.0755,327.535,347.0091,347.5782,332.3316,361.3578,378.318,373.1096
Dominica,External Health Expenditure (EXT) per Capita in PPP Int$,,3.9894,3.2002,25.7886,23.1854,32.0986,31.2273,19.6688,26.7928,14.8187,31.3265
Dominica,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,199.1499,237.32,221.204,203.7023,194.7984,212.3412,205.6517,205.2091,180.0642,169.2485
Dominica,Gross Domestic Product ,in current PPP per capita,"9,079.88","9,896.54","9,838.23","9,989.53","10,137.01","10,163.45","10,348.96","10,895.72","10,588.54","10,947.67"
Dominica,General government expenditure ,in current PPP per capita,"3,223.44","3,552.19","3,545.04","3,971.83","3,513.86","3,726.08","3,467.24","3,476.55","3,575.92","4,644.04"
Dominican Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,162.9416,212.8863,234.7151,274.3926,308.8631,323.6614,345.6148,337.3992,352.2799,428.3613
Dominican Republic,External Health Expenditure (EXT) per Capita in PPP Int$,,6.8582,8.1429,4.472,3.6145,2.9888,8.5039,3.6935,5.6713,5.8011,5.7852
Dominican Republic,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,194.0564,206.803,219.4206,267.1843,272.5172,295.4053,302.483,334.9811,368.7736,417.9755
Dominican Republic,Gross Domestic Product ,in current PPP per capita,"9,671.43","10,038.05","10,072.80","10,898.52","11,320.90","11,702.35","12,302.17","13,314.53","14,238.86","15,204.93"
Dominican Republic,General government expenditure ,in current PPP per capita,"1,573.82","1,835.53","1,636.65","1,722.74","1,807.36","2,355.95","2,200.79","2,362.04","2,524.61","2,677.31"
Ecuador,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,186.6453,203.8717,235.9956,292.5177,370.0175,439.3924,484.3871,510.8792,485.452,482.6766
Ecuador,External Health Expenditure (EXT) per Capita in PPP Int$,,4.6867,4.2295,3.5144,4.6856,2.3639,2.3194,1.1513,3.0913,3.91,3.4586
Ecuador,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,263.4114,270.5211,291.0478,310.1138,354.744,388.9309,400.2836,415.665,431.2689,381.6967
Ecuador,Gross Domestic Product ,in current PPP per capita,"8,366.18","8,920.55","8,889.26","9,163.11","9,926.95","10,512.37","11,037.39","11,483.96","11,446.32","11,242.05"
Ecuador,General government expenditure ,in current PPP per capita,"2,018.23","3,142.98","2,930.38","3,177.94","3,918.09","4,231.73","4,827.42","5,006.27","4,474.31","4,393.58"
El Salvador,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,246.1164,250.1455,248.7445,273.1541,309.7816,311.1997,344.9473,349.655,368.7628,386.507
El Salvador,External Health Expenditure (EXT) per Capita in PPP Int$,,16.7331,17.1471,41.3445,33.7268,18.298,12.8861,23.8065,23.9829,11.6159,13.5421
El Salvador,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,160.3591,160.3755,166.0556,166.2967,162.1137,166.5531,155.4372,159.1108,159.6903,162.8426
El Salvador,Gross Domestic Product ,in current PPP per capita,"7,008.74","7,205.47","7,001.78","7,152.09","7,428.02","7,671.75","7,901.99","8,118.87","8,353.92","8,616.98"
El Salvador,General government expenditure ,in current PPP per capita,"1,302.40","1,386.22","1,498.57","1,542.75","1,599.31","1,673.91","1,743.56","1,737.91","1,770.06","1,846.68"
Grenada,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,300.0686,289.5679,310.0529,304.3127,303.3921,270.1092,260.4783,262.2935,259.6058,308.036
Grenada,External Health Expenditure (EXT) per Capita in PPP Int$,,16.0997,15.5655,4.4343,12.347,11.5638,11.3159,11.9757,12.5967,19.0327,6.5718
Grenada,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,329.0676,349.2259,338.3751,350.4531,359.0748,360.0678,372.9445,384.4607,382.1602,430.495
Grenada,Gross Domestic Product ,in current PPP per capita,"11,344.66","11,640.13","10,912.70","10,953.24","11,218.95","11,253.68","11,655.03","12,681.81","13,585.90","14,201.46"
Grenada,General government expenditure ,in current PPP per capita,"3,190.69","3,298.91","3,055.77","3,093.42","3,229.05","3,000.98","3,278.78","3,699.94","3,487.32","3,415.92"
Guatemala,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,131.3269,139.5178,145.4171,134.5403,135.2971,137.5053,157.9008,167.2755,149.8909,172.0822
Guatemala,External Health Expenditure (EXT) per Capita in PPP Int$,,9.5858,4.6718,10.564,7.6461,8.5383,11.3372,7.5866,8.5052,4.0177,4.3026
Guatemala,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,247.8495,240.6375,234.5062,238.4634,239.2342,246.4646,240.0744,249.4377,247.6744,246.6392
Guatemala,Gross Domestic Product ,in current PPP per capita,"6,324.94","6,515.08","6,456.24","6,578.23","6,844.50","7,026.19","7,249.30","7,529.40","7,765.75","7,944.69"
Guatemala,General government expenditure ,in current PPP per capita,903.2655,888.6141,916.3187,955.5516,987.1805,984.7134,998.3721,"1,008.54",952.8213,958.9686
Guyana,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,90.1434,85.3477,88.2397,99.142,117.8213,136.4286,168.1988,195.8667,171.8775,196.0626
Guyana,External Health Expenditure (EXT) per Capita in PPP Int$,,31.3979,43.2298,57.8062,52.4854,57.2343,44.9134,30.5153,31.907,26.5907,19.6628
Guyana,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,80.1022,88.1563,99.7081,112.653,126.0274,133.3526,146.4941,146.144,135.2888,116.6241
Guyana,Gross Domestic Product ,in current PPP per capita,"5,001.45","5,211.19","5,347.36","5,694.44","6,132.19","6,514.58","6,936.78","7,278.54","7,500.69","7,840.02"
